ProjectType,PlaceName,Latitude,Longitude,ProjectDescription,Project URL
FishPassageBarrier,High Creek,48.916158,-122.108638,Replaced Barrier culvert with 50'x16'' bridge,
FishPassageBarrier,Innis Creek,48.652535,-122.204382,Replaced barrier culvert with 70'x12' bridge,
FishPassageBarrier,Silver Tributary,48.826253,-122.545474,Replaced barrier culvert with 50'x12' bridge,
LargeWoodyDebris,Squalicum Creek,48.793602,-122.431147,Large Woody Debris placement,
LargeWoodyDebris,Terrell Creek,48.882749,-122.691332,Large Woody Debris and Gravel placement,
RiperianPlanting,Airport Creek,48.7788,-122.5607,Riperian Tree Planting for 150 ft,
RiperianPlanting,Bertrand Creek,48.9613,-122.5095,Riperian Tree Planting for 400 ft,
RiperianPlanting,Bertrand Creek,48.9653,-122.5084,Riperian Tree Planting for 200 ft,
RiperianPlanting,Bertrand Creek,48.965,-122.508,Riperian Tree Planting for 250 ft,
RiperianPlanting,Chucanut Creek,48.6597,-122.4125,Riperian Tree Planting for 100 ft,
RiperianPlanting,Deer Creek,48.8437,-122.4853,Riperian Tree Planting for 300 ft,
RiperianPlanting,Fishtrap Creek,48.5996,-122.4424,Riperian Tree Planting for 2000 ft,
RiperianPlanting,Fishtrap Creek,48.9637,-122.4331,Riperian Tree Planting for 400 ft,
RiperianPlanting,Fishtrap Creek,48.9665,-122.4295,Riperian Tree Planting for 600 ft,
RiperianPlanting,Fishtrap Creek,48.9665,-122.4297,Riperian Tree Planting for 600 ft,
RiperianPlanting,Kam Creek,48.9559,-122.423,Riperian Tree Planting for 500 ft,
RiperianPlanting,Landingstrip Creek,48.716,-122.1969,Riperian Tree Planting for 600 ft,
RiperianPlanting,Landingstrip Creek,48.692,-122.1827,Riperian Tree Planting for 600 ft,
RiperianPlanting,Landingstrip Creek,48.71,-122.1938,Riperian Tree Planting for 300 ft,
RiperianPlanting,Macaulay Creek,48.8337,-122.2436,Riperian Tree Planting for 1200 ft,
RiperianPlanting,Macaulay Creek,48.8325,-122.2384,Riperian Tree Planting for 500 ft,
RiperianPlanting,Mainstem Nooksack River,48.7953,-122.5935,Riperian Tree Planting for 300 ft,
RiperianPlanting,Pangborn Creek,48.984,-122.3344,Riperian Tree Planting for 300 ft,
RiperianPlanting,Silver Creek,48.8236,-122.5274,Riperian Tree Planting for 300 ft,
RiperianPlanting,Smith Creek,48.8412,-122.2686,Riperian Tree Planting for 300 ft,
RiperianPlanting,Smith Creek,48.8557,-122.2983,Riperian Tree Planting for 150 ft,
RiperianPlanting,Squalicum Creek,48.7937,-122.4334,Riperian Tree Planting for 400 ft,
RiperianPlanting,Squalicum Creek,48.7947,-122.4316,Riperian Tree Planting for 1200 ft,
RiperianPlanting,Squalicum Creek,48.7958,-122.4296,Riperian Tree Planting for 600 ft,
RiperianPlanting,Squalicum Creek,48.7628,-122.5075,Riperian Tree Planting for 400 ft,
RiperianPlanting,Squalicum Creek,48.7732,-122.4942,Riperian Tree Planting for 300 ft,
RiperianPlanting,Squalicum Creek,48.7765,-122.4791,Riperian Tree Planting for 500 ft,
RiperianPlanting,Sumas Tributary,48.9628,-122.3607,Riperian Tree Planting for 300 ft,
RiperianPlanting,Tenmile Creek,48.8659,-122.4822,Riperian Tree Planting for 500 ft,
RiperianPlanting,Terrell Creek,48.9024,-122.7473,Riperian Tree Planting for 500 ft,
RiperianPlanting,Terrell Creek,48.8979,-122.7254,Riperian Tree Planting for 500 ft,
RiperianPlanting,Terrell Creek,48.8859,-122.697,Riperian Tree Planting for 400 ft,
RiperianPlanting,Terrell Tributary,48.9174,-122.7407,Riperian Tree Planting for 100 ft,
RiperianPlanting,Terrell Creek,48.8818,-122.69,Riperian Tree Planting,
RiperianPlanting,Terrell Creek,48.8985,-122.7021,Riperian Tree Planting for 500 ft,
